Step,Time,L1_V,L2_V,Off1,Off2,Drift_En,Lim_En
1380,13.8,0.449696,0.67382,122,143,0,0
1390,13.9,0.463696,0.65032,122,143,0,0
1400,14,0.468196,0.67332,122,143,0,0
1410,14.1,0.458696,0.67132,122,143,0,0
1420,14.2,0.454196,0.62882,122,143,0,0
1430,14.3,0.474196,0.64932,122,143,0,0
1440,14.4,0.457196,0.66482,122,143,0,0
1450,14.5,0.455696,0.66282,122,143,0,0
1460,14.6,0.466696,0.64832,122,143,0,0
1470,14.7,0.430196,0.65082,122,143,0,0
1480,14.8,0.462696,0.64832,122,143,0,0
1490,14.9,0.475696,0.63532,122,143,0,0
